Name,State_Available,State Name,UNLOC,Country
andorra la vella,n,nan,adalv,ad
canillo,n,nan,adcan,ad
encamp,n,nan,adenc,ad
escaldes-engordany,n,nan,adesc,ad
escas,n,nan,adeac,ad
la farga de moles,n,nan,adfmo,ad
la massana,n,nan,adlma,ad
ordino,n,nan,adord,ad
pas de la casa,n,nan,adpas,ad
sant julia de loria,n,nan,adsjl,ad
santa coloma,n,nan,adsco,ad
abu al bukhoosh,n,nan,aeabu,ae
abu dhabi,n,nan,aeauh,ae
abu musa,n,nan,aeamu,ae
ahmed bin rashid port,n,nan,aearp,ae
ajman,n,nan,aeajm,ae
al ain,n,nan,aeaan,ae
al barsha,n,nan,aealb,ae
al dhafra,n,nan,aedhf,ae
al fujayrah,n,nan,aefjr,ae
al hamriyah,n,nan,aeham,ae
al jazeera port,n,nan,aejaz,ae
al jeer port,n,nan,aeajp,ae
al mafraq,n,nan,aedbi,ae
al quoz,n,nan,aealq,ae
al sufouh,n,nan,aeals,ae
ar ruways,n,nan,aeruw,ae
arzanah island,n,nan,aearz,ae
das island,n,nan,aedas,ae
deira,n,nan,aeder,ae
dibba,n,nan,aedbp,ae
dubai,n,nan,aedxb,ae
dubai world central apt,n,nan,aedwc,ae
esnnad,n,nan,aeend,ae
fateh terminal,n,nan,aefat,ae
free port,n,nan,aefrp,ae
habshan,n,nan,aehab,ae
hail,n,nan,aehil,ae
hamriya free zone port,n,nan,aehzp,ae
hassyan,n,nan,aehsn,ae
hatta,n,nan,aehat,ae
hulaylah terminal,n,nan,aehtl,ae
indooroodilly,n,nan,aeind,ae
jebel ali,n,nan,aejea,ae
jebel ali free zone,n,nan,aeqwe,ae
jebel dhanna,n,nan,aejed,ae
jumayrah,n,nan,aejyh,ae
kalba,n,nan,aeklb,ae
khalidia,n,nan,aekha,ae
khor al fakkan,n,nan,aeklf,ae
masfut,n,nan,aemas,ae
mina khalid,n,nan,aemkh,ae
abu dhabi,n,nan,aekhl,ae
mina rashid port,n,nan,aemrp,ae
mina saqr,n,nan,aemsa,ae
abu dhabi,n,nan,aemzd,ae
minhad,n,nan,aenhd,ae
mirfa,n,nan,aerfa,ae
mubarek terminal,n,nan,aemub,ae
mubarras island,n,nan,aembs,ae
musafa,n,nan,aefmz,ae
mussafah,n,nan,aeamf,ae
offshore fujairah,n,nan,aeofj,ae
port rashid,n,nan,aepra,ae
rak khor port,n,nan,aerkp,ae
rak maritime city,n,nan,aermc,ae
ras al khaimah,n,nan,aerkt,ae
ras al khor,n,nan,aerak,ae
ras zubbaya,n,nan,aeduy,ae
reem island,n,nan,aerei,ae
ruwais port,n,nan,aerwp,ae
sadiyat island,n,nan,aesid,ae
sharjah,n,nan,aeshj,ae
sila,n,nan,aesil,ae
steven rock terminal,n,nan,aesrt,ae
swaihan,n,nan,aeswe,ae
the palm jumeirah,n,nan,aeduj,ae
umm al nar,n,nan,aeulr,ae
umm al qaiwain,n,nan,aeqiw,ae
vopak horizion terminal,n,nan,aevht,ae
yas island,n,nan,aeyas,ae
zirku island,n,nan,aezur,ae
ali shirzayi,n,nan,afash,af
bagram,n,nan,afbag,af
bamian,n,nan,afbin,af
bazar-e-panjwai,n,nan,afbep,af
bost,n,nan,afbst,af
camp bastion,n,nan,afcbn,af
camp dwyer,n,nan,afcdw,af
camp leatherneck,n,nan,afcln,af
camp salerno,n,nan,afcso,af
camp wolverine,n,nan,afcwo,af
chaghcharan,n,nan,afccn,af
darwaz,n,nan,afdaz,af
dehdadi,n,nan,afdhd,af
eslam qal'eh,n,nan,afisq,af
faizabad,n,nan,affbd,af
farah,n,nan,affah,af
